11027 12330 1000
3872 0 5031 0
6407 0 6407 0
1005 8 1005 8
10662 14 10662 14
8269 30 8269 30
350 38 4982 38
2553 53 3670 53
894 59 2509 59
4717 68 9953 68
8638 83 8638 83
6221 84 6221 84
4131 85 4131 85
2983 104 9483 104
10190 120 10190 120
2711 134 6640 134
3518 146 8034 146
6684 162 8462 162
3865 168 3865 168
8029 185 8029 185
5058 198 5058 198
2340 207 2825 207
9299 220 9299 220
8688 232 8688 232
10192 244 10192 244
8680 260 8680 260
5323 267 5982 267
417 269 5532 269
6585 276 6585 276
1504 279 8491 279
7195 295 7195 295
7111 308 7111 308
1575 323 9825 323
2617 331 8642 331
8749 334 11011 334
2786 350 2786 350
5280 365 9041 365
5417 372 6053 372
3047 382 8412 382
5238 393 6403 393
2344 398 8570 398
7040 415 7040 415
7685 419 7685 419
9508 431 9508 431
9288 444 9288 444
2404 463 2404 463
4595 472 5758 472
9380 476 9380 476
1577 481 4868 481
2750 484 7235 484
1237 486 5005 486
9477 493 9477 493
8346 500 8346 500
1728 513 4972 513
4245 523 4245 523
5180 536 5180 536
4541 538 6035 538
5516 551 10097 551
5285 563 9885 563
10020 569 10020 569
2400 581 3021 581
3419 588 5988 588
4927 599 8136 599
8816 603 8816 603
4123 604 8935 604
9891 615 10227 615
4778 617 5644 617
359 635 8331 635
11019 635 11019 635
10947 645 10947 645
4692 645 6818 645
346 648 9783 648
8671 655 9435 655
6453 656 8702 656
5910 675 9489 675
3887 687 7664 687
871 692 9612 692
10174 705 10174 705
9340 705 9340 705
6408 715 6408 715
10587 726 10587 726
8501 737 8501 737
6060 756 6060 756
7279 756 7297 756
3513 761 5253 761
1246 762 1246 762
3776 773 9600 773
6792 776 9517 776
620 778 3372 778
613 779 5993 779
907 787 9424 787
8998 806 8998 806
6012 821 8218 821
6234 826 6234 826
4663 837 9992 837
5475 851 6463 851
8934 869 8934 869
8807 875 9708 875
5420 882 10179 882
1325 901 10402 901
362 907 8760 907
820 912 1725 912
6574 918 7701 918
10607 927 10607 927
9742 935 9742 935
273 946 985 946
4252 952 5803 952
5323 963 10678 963
2344 965 3611 965
7629 969 8665 969
916 981 6474 981
2840 983 7712 983
1766 990 3449 990
5837 1005 6353 1005
1725 1022 4327 1022
4981 1036 6191 1036
1365 1052 1365 1052
844 1069 1160 1069
6220 1076 8098 1076
1949 1086 8518 1086
8027 1088 8027 1088
8024 1099 10714 1099
3721 1118 5609 1118
2649 1130 2649 1130
8004 1146 8725 1146
10228 1150 10228 1150
7034 1155 7034 1155
10581 1170 10581 1170
2226 1181 10291 1181
2731 1183 9599 1183
10013 1195 10013 1195
5172 1204 5172 1204
702 1208 10560 1208
222 1215 222 1215
3747 1218 7922 1218
10632 1221 10632 1221
2744 1221 4792 1221
7322 1233 11009 1233
2467 1252 5597 1252
9072 1263 9072 1263
4804 1281 4804 1281
2654 1290 5182 1290
3783 1292 9529 1292
4342 1298 4342 1298
7848 1310 9723 1310
10128 1318 10156 1318
2578 1325 2787 1325
8723 1331 8723 1331
2708 1334 6525 1334
6529 1346 6529 1346
2736 1362 5498 1362
7835 1376 7835 1376
201 1377 10704 1377
7542 1377 9269 1377
1706 1386 5197 1386
10208 1398 10812 1398
10698 1414 10698 1414
9775 1418 9775 1418
5818 1428 6047 1428
538 1431 9348 1431
8427 1449 8427 1449
6446 1463 6446 1463
4117 1481 4117 1481
2016 1482 2648 1482
7998 1488 9200 1488
5757 1489 5757 1489
5844 1490 5844 1490
5979 1501 5979 1501
1649 1501 4563 1501
2387 1504 7600 1504
9526 1511 9526 1511
2903 1514 7040 1514
10773 1518 10773 1518
8878 1526 8878 1526
2463 1536 2463 1536
3103 1549 3161 1549
2412 1560 5948 1560
2488 1570 5890 1570
10129 1585 10129 1585
4879 1590 4879 1590
9372 1592 10167 1592
6434 1610 6434 1610
10085 1622 10085 1622
5793 1622 5793 1622
10216 1630 10216 1630
2034 1641 9120 1641
2770 1654 8097 1654
8463 1667 8463 1667
6726 1681 6726 1681
4680 1700 10815 1700
8739 1704 8739 1704
4751 1706 4751 1706
4463 1716 9580 1716
1415 1719 9741 1719
5190 1736 9751 1736
7567 1752 7567 1752
8520 1768 8520 1768
8742 1774 8742 1774
3985 1792 3985 1792
9225 1808 9225 1808
5066 1815 9690 1815
3818 1820 4087 1820
133 1830 1622 1830
8695 1832 10195 1832
2992 1836 10222 1836
944 1844 3451 1844
6767 1860 6767 1860
9981 1862 9981 1862
8587 1865 8587 1865
8213 1873 9029 1873
2648 1880 9334 1880
4161 1881 4161 1881
2467 1883 5112 1883
5779 1895 9076 1895
5090 1899 5090 1899
7801 1913 10025 1913
2217 1915 5955 1915
3273 1925 8036 1925
2298 1929 9564 1929
10819 1931 10819 1931
1084 1938 3008 1938
10583 1956 10583 1956
6264 1967 7797 1967
4819 1975 6180 1975
6096 1987 6096 1987
1320 1992 7857 1992
6823 2001 6823 2001
6111 2014 7539 2014
276 2025 7131 2025
6245 2032 6245 2032
3865 2051 9719 2051
8443 2060 8443 2060
7585 2070 7585 2070
7668 2083 7668 2083
1065 2098 8853 2098
7759 2108 7759 2108
8086 2123 8086 2123
3033 2124 4309 2124
8622 2124 10905 2124
10710 2139 10710 2139
2313 2143 3381 2143
8255 2150 8255 2150
10476 2154 10476 2154
8851 2154 8851 2154
7926 2160 7926 2160
3564 2170 3765 2170
1203 2170 5745 2170
10798 2179 10798 2179
1239 2190 2898 2190
2311 2196 4501 2196
4889 2202 9035 2202
9973 2217 9973 2217
9567 2227 9567 2227
4449 2235 10165 2235
2809 2236 4699 2236
1322 2254 5939 2254
3014 2256 7268 2256
9205 2271 9205 2271
798 2280 9356 2280
6276 2287 6276 2287
3727 2301 10257 2301
9913 2317 9913 2317
4951 2333 10586 2333
10378 2349 10378 2349
10177 2349 10177 2349
9445 2361 9445 2361
5147 2369 9420 2369
5431 2371 5577 2371
10219 2378 10219 2378
10744 2379 10744 2379
3816 2380 7462 2380
10005 2391 10005 2391
9080 2409 9080 2409
4758 2411 4758 2411
8888 2417 8888 2417
1465 2434 5103 2434
9221 2448 9221 2448
3597 2460 3597 2460
4393 2460 4393 2460
9280 2461 9280 2461
5930 2469 5930 2469
48 2486 9046 2486
2619 2489 2619 2489
1846 2489 6360 2489
6765 2500 6922 2500
1132 2515 8268 2515
6960 2523 6960 2523
2798 2541 9497 2541
2627 2559 7990 2559
5511 2560 7096 2560
9853 2570 9853 2570
8570 2570 8570 2570
8526 2588 8526 2588
5311 2600 5311 2600
9316 2612 9316 2612
7675 2616 7675 2616
9167 2621 9167 2621
5043 2630 5043 2630
4018 2649 10753 2649
9331 2655 9331 2655
6233 2666 8222 2666
3362 2679 6886 2679
3022 2680 3022 2680
9196 2690 9196 2690
6877 2708 6877 2708
253 2722 10853 2722
3488 2723 3488 2723
10908 2735 10908 2735
937 2738 5554 2738
4402 2742 6194 2742
2749 2757 4526 2757
5068 2760 5068 2760
10292 2779 10292 2779
7862 2794 7862 2794
7493 2809 7493 2809
6384 2810 9646 2810
10832 2816 10832 2816
9890 2831 9890 2831
9110 2841 9110 2841
3995 2855 3995 2855
7070 2871 9179 2871
2582 2875 2582 2875
1031 2884 5272 2884
5076 2891 6818 2891
4727 2900 4727 2900
3926 2904 9860 2904
1776 2921 5125 2921
1246 2938 6492 2938
7574 2955 9015 2955
10923 2960 10923 2960
8620 2961 8620 2961
7939 2967 8711 2967
3455 2971 4555 2971
9405 2983 9405 2983
8805 2985 8805 2985
6853 2989 8746 2989
873 2996 10306 2996
7123 2998 7740 2998
9098 3006 9098 3006
2837 3022 3195 3022
1049 3022 6801 3022
9628 3031 9628 3031
10272 3038 10272 3038
8567 3047 8567 3047
4307 3065 4307 3065
4439 3068 4439 3068
7963 3081 7963 3081
1713 3087 1713 3087
8807 3091 8807 3091
1307 3092 7694 3092
3196 3109 3196 3109
7306 3117 7306 3117
4373 3131 8290 3131
2439 3135 2630 3135
4476 3135 4476 3135
246 3138 5211 3138
5148 3151 5148 3151
625 3170 4681 3170
3463 3175 9303 3175
10049 3194 10049 3194
3771 3199 3771 3199
137 3207 7668 3207
6345 3217 6345 3217
2730 3223 5234 3223
777 3231 6164 3231
6747 3246 6747 3246
6789 3255 6789 3255
9191 3260 9191 3260
4187 3261 5404 3261
5060 3280 5060 3280
5960 3297 5960 3297
15 3316 5585 3316
7131 3317 9737 3317
5671 3330 5671 3330
400 3340 5323 3340
4429 3345 8584 3345
5766 3350 5840 3350
371 3356 9095 3356
1698 3359 1985 3359
1634 3374 7593 3374
10181 3378 10181 3378
5597 3379 5597 3379
9383 3396 10766 3396
710 3402 6102 3402
9436 3404 9436 3404
6237 3416 10747 3416
5350 3419 10138 3419
2071 3433 3839 3433
2204 3439 3817 3439
6734 3457 6734 3457
5972 3458 6631 3458
7110 3472 9757 3472
2513 3476 8159 3476
10414 3485 10414 3485
5765 3487 7531 3487
8494 3497 10318 3497
8200 3503 8200 3503
1689 3504 1689 3504
7257 3510 10687 3510
8948 3515 8948 3515
2608 3528 2608 3528
5972 3545 5972 3545
5898 3547 5898 3547
5436 3559 5436 3559
6438 3565 6438 3565
6419 3581 6419 3581
5253 3586 5253 3586
7627 3592 7627 3592
6699 3603 8320 3603
6638 3611 10126 3611
7237 3630 7237 3630
495 3634 6154 3634
3725 3636 3725 3636
3896 3642 6830 3642
7273 3646 7273 3646
2824 3664 2824 3664
994 3668 994 3668
3872 3685 3872 3685
8747 3689 8747 3689
9176 3704 9176 3704
10759 3706 10759 3706
5929 3722 7608 3722
5072 3731 5072 3731
5242 3733 5242 3733
4532 3752 4532 3752
3307 3753 9943 3753
1364 3753 3973 3753
10163 3772 10163 3772
4295 3787 8314 3787
4401 3799 4401 3799
3238 3807 6105 3807
5568 3815 7675 3815
10364 3817 10364 3817
103 3828 9011 3828
7586 3840 7586 3840
2950 3843 5241 3843
8678 3847 8678 3847
8510 3854 8510 3854
6302 3866 6302 3866
8324 3873 9300 3873
5518 3889 8306 3889
274 3897 612 3897
7287 3903 7287 3903
5955 3916 9065 3916
1605 3935 7927 3935
3576 3948 3846 3948
2380 3957 6851 3957
6822 3967 6822 3967
